"id","CHIIKIKBN","CHIIKIKBN_NAME","JUSHOCD","JUSHONAME","CHIIKINAME","5SAI","3SEDAI","YEAR","SEX","POPLATION","RESULT_ESTFLG"
596448,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"2015",2,"3139",0
596450,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"2020",1,"4136",0
596452,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"2020",2,"3453",0
596454,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"1980",1,"0",0
596456,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"1980",2,"0",0
596458,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"1985",1,"0",0
596460,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"1985",2,"0",0
596462,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"1990",1,"0",0
596464,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"1990",2,"0",0
596466,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"1995",1,"0",0
596468,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"1995",2,"0",0
596470,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"2000",1,"2642",0
596472,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"2000",2,"2644",0
596474,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"2005",1,"3259",0
596476,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"2005",2,"3070",0
596478,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"2010",1,"3686",0
596480,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"2010",2,"3375",0
596482,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"2015",1,"3953",0
596484,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"2015",2,"3521",0
596486,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"2020",1,"4360",0
596488,5,"事務所管轄","10","市民課","東京都八王子市万町","35",2,"2020",2,"3902",0
596490,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"1980",1,"0",0
596492,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"1980",2,"0",0
596494,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"1985",1,"0",0
596496,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"1985",2,"0",0
596498,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"1990",1,"0",0
596500,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"1990",2,"0",0
596502,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"1995",1,"0",0
596504,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"1995",2,"0",0
596506,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"2000",1,"2371",0
596508,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"2000",2,"2429",0
596510,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"2005",1,"2993",0
596512,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"2005",2,"2947",0
596514,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"2010",1,"3713",0
596516,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"2010",2,"3442",0
596518,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"2015",1,"4570",0
596520,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"2015",2,"4111",0
596522,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"2020",1,"4636",0
596524,5,"事務所管轄","10","市民課","東京都八王子市万町","40",2,"2020",2,"4064",0
596526,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"1980",1,"0",0
